AUC ROC Score,Method,Noise Ratio (NR)
0.7166905987,NetGAN,“1:1”
0.7319639952,NetGAN,“1:1”
0.7114428929,NetGAN,“1:1”
0.6883978116,NetGAN,“1:1”
0.6603,NetGAN,“1:1”
0.6639,NetGAN,“1:1”
0.6681,NetGAN,“1:1”
0.6618,NetGAN,“1:1”
0.6703,NetGAN,“1:1”
0.6735,NetGAN,“1:1”
0.683664173,NetGAN,“1:3”
0.6795692238,NetGAN,“1:3”
0.6917825893,NetGAN,“1:3”
0.6827841534,NetGAN,“1:3”
0.6816325274,NetGAN,“1:3”
0.65223,NetGAN,“1:3”
0.65458,NetGAN,“1:3”
0.6424,NetGAN,“1:3”
0.6672,NetGAN,“1:3”
0.6626001093,NetGAN,“1:5”
0.658041344,NetGAN,“1:5”
0.6483589927,NetGAN,“1:5”
0.675787338,NetGAN,“1:5”
0.662025741,NetGAN,“1:5”
0.6389,NetGAN,“1:5”
0.6321,NetGAN,“1:5”
0.62785,NetGAN,“1:5”
0.62494,NetGAN,“1:5”
0.6209,NetGAN,“1:5”
0.6344110904,NetGAN,“1:7”
0.6347257869,NetGAN,“1:7”
0.6400498741,NetGAN,“1:7”
0.634872394,NetGAN,“1:7”
0.6458428025,NetGAN,“1:7”
0.61609,NetGAN,“1:7”
0.6176,NetGAN,“1:7”
0.6188,NetGAN,“1:7”
0.6281,NetGAN,“1:7”
0.6197,NetGAN,“1:7”
0.6278371367,NetGAN,“1:9”
0.6227899322,NetGAN,“1:9”
0.6304716679,NetGAN,“1:9”
0.6182977494,NetGAN,“1:9”
0.6377944862,NetGAN,“1:9”
0.6285316047,NetGAN,“1:9”
0.6136,NetGAN,“1:9”
0.618,NetGAN,“1:9”
0.632,NetGAN,“1:9”
0.822,CELL,“1:1”
0.822,CELL,“1:1”
0.816,CELL,“1:1”
0.827,CELL,“1:1”
0.827,CELL,“1:1”
0.825,CELL,“1:1”
0.824,CELL,“1:1”
0.834,CELL,“1:1”
0.827,CELL,“1:1”
0.829,CELL,“1:1”
0.813,CELL,“1:1”
0.828,CELL,“1:1”
0.768,CELL,“1:3”
0.767,CELL,“1:3”
0.764,CELL,“1:3”
0.761,CELL,“1:3”
0.764,CELL,“1:3”
0.778,CELL,“1:3”
0.769,CELL,“1:3”
0.78,CELL,“1:3”
0.769,CELL,“1:3”
0.783,CELL,“1:3”
0.768,CELL,“1:3”
0.732,CELL,“1:5”
0.723,CELL,“1:5”
0.725,CELL,“1:5”
0.746,CELL,“1:5”
0.743,CELL,“1:5”
0.734,CELL,“1:5”
0.743,CELL,“1:5”
0.732,CELL,“1:5”
0.742,CELL,“1:5”
0.735,CELL,“1:5”
0.754,CELL,“1:5”
0.712,CELL,“1:7”
0.725,CELL,“1:7”
0.711,CELL,“1:7”
0.711,CELL,“1:7”
0.723,CELL,“1:7”
0.708,CELL,“1:7”
0.718,CELL,“1:7”
0.717,CELL,“1:7”
0.712,CELL,“1:7”
0.715,CELL,“1:7”
0.712,CELL,“1:7”
0.695,CELL,“1:9”
0.678,CELL,“1:9”
0.685,CELL,“1:9”
0.694,CELL,“1:9”
0.674,CELL,“1:9”
0.683,CELL,“1:9”
0.678,CELL,“1:9”
0.677,CELL,“1:9”
0.675,CELL,“1:9”
0.682,CELL,“1:9”
0.681,CELL,“1:9”
